,日期,天气状况,气温
0,2020年10月01日,"多云,/阴","27℃,/,21℃"
1,2020年10月02日,"多云,/多云","28℃,/,22℃"
2,2020年10月03日,"阵雨,/小雨","29℃,/,21℃"
3,2020年10月04日,"小雨,/小雨","22℃,/,15℃"
4,2020年10月05日,"小雨,/阴","18℃,/,15℃"
5,2020年10月06日,"阴,/阴","19℃,/,16℃"
6,2020年10月07日,"多云,/多云","20℃,/,16℃"
7,2020年10月08日,"晴,/晴","22℃,/,16℃"
8,2020年10月09日,"晴,/晴","24℃,/,16℃"
9,2020年10月10日,"晴,/晴","25℃,/,17℃"
10,2020年10月11日,"晴,/晴","26℃,/,18℃"
11,2020年10月12日,"晴,/晴","27℃,/,19℃"
12,2020年10月13日,"晴,/多云","26℃,/,19℃"
13,2020年10月14日,"多云,/阴","24℃,/,19℃"
14,2020年10月15日,"小雨,/小雨","21℃,/,18℃"
15,2020年10月16日,"小雨,/小雨","18℃,/,15℃"
